team,jersey,name,pos,games,age,college,mover,also,resolved
cleveland-browns,82,Ozzie Newsome,TE,16,23,Alabama,,,
cleveland-browns,25,Pat Moriarty,RB,16,24,Georgia Tech,,,
cleveland-browns,24,Randy Rich,DB,16,25,New Mexico,,,
cleveland-browns,33,Reggie Rucker,WR,16,32,Boston University,,,
cleveland-browns,92,Rich Dimler,DT,12,23,Southern California,,,
cleveland-browns,83,Ricky Feacher,WR,16,25,Mississippi Valley State,,,
cleveland-browns,47,Ricky Jones,LB,16,24,Tuskegee,,,
cleveland-browns,68,Robert Jackson,OG,16,26,Duke,,same-team namesake,
cleveland-browns,56,Robert Jackson,LB,16,25,Texas A&M,,same-team namesake,
cleveland-browns,28,Ron Bolton,DB,16,29,Norfolk State,,,
cleveland-browns,27,Thom Darden,DB,16,29,Michigan,,,
cleveland-browns,54,Tom DeLeone,C,16,29,Ohio State,,,
cleveland-browns,80,Willis Adams,WR,16,23,Houston,,,
dallas-cowboys,25,Aaron Kyle,DB,16,25,Wyoming,,,
dallas-cowboys,34,Aaron Mitchell,DB,16,22,Nevada-Las Vegas,,,
dallas-cowboys,24,Alois Blackwell,RB,6,24,Houston,,,
dallas-cowboys,71,Andy Frederick,OT,16,25,New Mexico,,,
dallas-cowboys,31,Benny Barnes,DB,15,28,Stanford,,,
dallas-cowboys,89,Billy Joe DuPree,TE,16,29,Michigan State,,,
dallas-cowboys,53,Bob Breunig,LB,16,26,Arizona State,,,
dallas-cowboys,57,Bruce Huther,LB,16,25,New Hampshire,,,
dallas-cowboys,77,Bruce Thornton,DE,16,21,Illinois,,,
dallas-cowboys,66,Burton Lawless,OG,15,26,Florida,,,
dallas-cowboys,86,Butch Johnson,WR,11,25,California-Riverside,,,
dallas-cowboys,43,Cliff Harris,DB,16,30,Ouachita Baptist,,,
dallas-cowboys,50,D.D. Lewis,LB,16,34,Mississippi State,,,
dallas-cowboys,11,Danny White,QB,16,27,Arizona State,,,
dallas-cowboys,65,Dave Stalls,DE,16,24,Northern Colorado,,,
dallas-cowboys,32,Dennis Thurman,DB,16,23,Southern California,,,
dallas-cowboys,84,Doug Cosbie,TE,16,23,Santa Clara,,,
dallas-cowboys,88,Drew Pearson,WR,15,28,Tulsa,,,
dallas-cowboys,18,Glenn Carano,QB,3,23,Nevada-Las Vegas,,,
dallas-cowboys,59,Guy Brown,LB,15,24,Houston,,,
dallas-cowboys,79,Harvey Martin,DE,16,28,Texas A&M-Commerce,,,
dallas-cowboys,68,Herbert Scott,OG,16,26,Virginia Union,,,
dallas-cowboys,87,Jay Saldi,TE,16,25,South Carolina,,,
dallas-cowboys,61,Jim Cooper,OT,15,24,Temple,,,
dallas-cowboys,78,John Dutton,DT,8,28,Nebraska,,,
dallas-cowboys,62,John Fitzgerald,C,15,31,Boston College,,,
dallas-cowboys,76,Larry Bethea,DT,16,23,Michigan State,,,
dallas-cowboys,36,Larry Brinson,RB,14,25,Florida,,,
dallas-cowboys,63,Larry Cole,DE,16,32,Hawaii,,,
dallas-cowboys,58,Mike Hegman,LB,16,26,Tennessee State,,,
dallas-cowboys,67,Pat Donovan,OT,16,26,Stanford,,,
dallas-cowboys,26,Preston Pearson,RB,14,34,Illinois,,,
dallas-cowboys,1,Rafael Septien,K,16,25,Southwestern Louisiana,,,
dallas-cowboys,42,Randy Hughes,DB,15,26,Oklahoma,,,
dallas-cowboys,54,Randy White,DT,15,26,Maryland,,,
dallas-cowboys,70,Rayfield Wright,OT,16,34,Fort Valley State,,,
dallas-cowboys,44,Robert Newhouse,RB,14,29,Houston,,,
dallas-cowboys,52,Robert Shaw,C,16,23,Tennessee,,,
dallas-cowboys,12,Roger Staubach,QB,16,37,Navy,,,
dallas-cowboys,20,Ron Springs,RB,16,22,Ohio State,,,
dallas-cowboys,35,Scott Laidlaw,RB,16,26,Stanford,,,
dallas-cowboys,81,Steve Wilson,DB,16,22,Howard,,namesake,
dallas-cowboys,56,Thomas Henderson,LB,11,26,Langston,,,
dallas-cowboys,64,Tom Rafferty,C,16,25,Penn State,,,
dallas-cowboys,33,Tony Dorsett,RB,14,25,Pittsburgh,,,
dallas-cowboys,80,Tony Hill,WR,16,23,Stanford,,,
dallas-cowboys,22,Wade Manning,WR,9,24,Ohio State,,,
denver-broncos,79,Barney Chavous,DE,16,28,South Carolina State,,,
denver-broncos,29,Bernard Jackson,DB,12,29,Washington State,,,
denver-broncos,64,Billy Bryan,C,16,24,Duke,,,
denver-broncos,36,Billy Thompson,DB,16,33,Maryland Eastern Shore,,,
denver-broncos,51,Bob Swenson,LB,16,26,California,,,
denver-broncos,66,Brison Manor,DE,16,27,Arkansas,,,
denver-broncos,78,Bruce Radford,DT,16,24,Grambling,,,
denver-broncos,40,Charlie West,DB,16,33,Texas-El Paso,,,
denver-broncos,23,Chris Pane,DB,16,26,Cal State-Chico,,,
denver-broncos,71,Claudie Minor,OT,16,28,San Diego State,,,
denver-broncos,7,Craig Morton,QB,14,36,California,,,
denver-broncos,12,Craig Penrose,QB,2,26,San Diego State,,,
denver-broncos,46,Dave Preston,RB,10,24,Bowling Green,,,
denver-broncos,70,Dave Studdard,OT,16,23,Texas,,,
denver-broncos,72,Don Latimer,DT,15,24,Miami,,,
denver-broncos,19,Fred Steinfort,K,1,26,Boston College,,,
denver-broncos,47,George Atkinson,DB,6,32,Morris Brown,,,
