round,pick,team,name,pos,age,last_season,all_pro,pro_bowls,seasons_started,career_av,draft_av,college
15,197,WAS,Len Vella,T,,,0,0,0,,,Georgia
15,198,MIN,Larry Guilford,E,,,0,0,0,,,Pacific
15,199,RAM,Walter Nikirk,T,,,0,0,0,,,Houston
15,200,DAL,Guy Reese,DT,22,1966,0,0,3,21,11,SMU
15,201,PIT,Vern Hatch,E,,,0,0,0,,,North Carolina Central
15,202,STL,Dick Barlund,E,,,0,0,0,,,Maryland
15,203,CHI,Kent Martin,T,,,0,0,0,,,Wake Forest
15,204,SFO,Ray Osbourne,T,,,0,0,0,,,Mississippi St.
15,205,BAL,Joe Monte,G,,,0,0,0,,,Furman
15,206,DET,Dick Broadbent,E,,,0,0,0,,,Delaware
15,207,CLE,Tom Goosby,G,23,1966,0,0,1,6,0,Baldwin Wallace
15,208,PHI,Mike Woulfe,LB,23,1962,0,0,0,3,3,Colorado
15,209,NYG,Joe Taylor,DB,23,1974,0,0,7,37,,North Carolina A&T
15,210,GNB,Roger Holdinsky,B,,,0,0,0,,,West Virginia
16,211,WAS,Tommy Brooker,E,22,1966,0,1,0,12,,Alabama
16,212,RAM,Ron Skufca,T,,,0,0,0,,,Purdue
16,213,MIN,John Contoulis,DT,21,1964,0,0,0,2,,Connecticut
16,214,DAL,Bob Johnston,T,,,0,0,0,,,Rice
16,215,STL,Bucky Wegener,G,22,1963,0,0,0,4,,Missouri
16,216,PIT,Bobby Ply,DB,22,1967,0,0,0,15,,Baylor
16,217,CHI,John Nelson,C,,,0,0,0,,,Xavier (OH)
16,218,SFO,Ron Frank,T,,,0,0,0,,,South Dakota St.
16,219,BAL,Ray Abruzzese,B,24,1966,0,0,2,15,,Alabama
16,220,DET,Tom Sestak,DT,26,1968,3,4,7,68,,McNeese St.
16,221,CLE,Dennis Biodrowski,G,22,1967,0,0,0,11,,Memphis
16,222,NYG,Roger Johnson,HB,,,0,0,0,,,Oregon St.
16,223,PHI,Jerry Mazzanti,DE,22,1967,0,0,0,6,2,Arkansas
16,224,GNB,Jimmy Field,B,,,0,0,0,,,LSU
17,225,WAS,Al Miller,LB,22,1963,0,0,1,7,7,Ohio
17,226,MIN,Ron Staley,E,,,0,0,0,,,Wisconsin
17,227,RAM,Dave Steadman,T,,,0,0,0,,,Georgia Tech
17,228,DAL,Ray Jacobs,DT,23,1969,0,0,5,27,,Howard Payne
17,229,PIT,Nat Tucker,B,,,0,0,0,,,Florida A&M
17,230,STL,Don Kasso,HB,,,0,0,0,,,Oregon St.
17,231,CHI,Glenn Glass,DB,22,1966,0,0,1,16,,Tennessee
17,232,SFO,Wally Foltz,E,,,0,0,0,,,DePauw
17,233,BAL,Bill Knocke,HB,,,0,0,0,,,Fresno St.
17,234,DET,Rucker Wickline,C,,,0,0,0,,,Marshall
17,235,CLE,Herbert Harlan,E,,,0,0,0,,,Baylor
17,236,PHI,Mike Martin,T,,,0,0,0,,,Washington St.
17,237,NYG,Ken Schaffer,T,,,0,0,0,,,Marquette
17,238,GNB,Buck Buchanan,T,22,1975,4,8,13,96,,Grambling St.
18,239,WAS,Carl Charon,DB,22,1963,0,0,1,12,,Michigan St.
18,240,RAM,Charlie Furlow,QB,,,0,0,0,,,Mississippi St.
18,241,MIN,Junior Hawthorne,T,,,0,0,0,,,Kentucky
18,242,DAL,Dave Cloutier,DB,23,1964,0,0,0,0,,Maine
18,243,STL,Don Donatelli,C,,,0,0,0,,,Florida St.
18,244,PIT,Ferrell Yarbrough,T,,,0,0,0,,,Northwestern St. (LA)
18,245,CHI,Tommy Neck,DB,23,1962,0,0,0,0,0,LSU
18,246,SFO,Gary Brown,T,,,0,0,0,,,Illinois
18,247,BAL,Mel Rideout,QB,,,0,0,0,,,Richmond
18,248,DET,Joe Zuger,QB,,,0,0,0,,,Arizona St.
18,249,CLE,Sonny Bishop,G,22,1969,0,1,7,37,,Fresno St.
18,250,NYG,Bill Winter,LB,22,1964,0,0,3,13,13,St. Olaf
