season,league,source_file,teams,players,league_size,share,block_is,already_published,identifying_names,franchises
1958,NFL,MuscleMike-LM67,2,92,12,17%,notable teams,,"Gino Marchetti, Jim Parker, Raymond Berry",Baltimore Colts; New York Giants
1960,NFL,Mike-NFL1941-1969,5,236,21,24%,notable teams,,"Walt Cudzik, Gino Cappelletti., Bob Dee",Boston Patriots; Dallas Cowboys; Green Bay Packers; Los Angeles Chargers; Philadelphia Eagles
1960,NFL,MuscleMike-LM67,1,47,21,5%,notable teams,,"Chuck Bednarik, Pete Retzlaff, Clarence Peaks",Philadelphia Eagles
1961,NFL,Mike-NFL1941-1969,2,90,22,9%,notable teams,,"Rip Hawkins, Fran Tarkenton, Jim Prestel",Chicago Bears; Minnesota Vikings
1962,NFL,Mike-NFL1941-1969,8,361,22,36%,notable teams,,"Jim Tyrer, Curtis McClinton, Johnny Robinson",Dallas Texans; Denver Broncos; Detroit Lions; Green Bay Packers; Houston Oilers; Oakland Raiders; Pittsburgh Steelers; San Francisco 49ers
1962,NFL,MuscleMike-LM67,3,135,22,14%,notable teams,,"Jim Tyrer, Fred Arbanas, Curtis McClinton",Dallas Texans; Green Bay Packers; Houston Oilers
1963,NFL,Mike-NFL1941-1969,6,270,22,27%,notable teams,,"Curley Johnson., Bill Baird, Mark Smolinski",Chicago Bears; Los Angeles Rams; New York Giants; New York Jets; Oakland Raiders; San Diego Chargers
1963,NFL,MuscleMike-LM67,2,91,22,9%,notable teams,,"Mike Ditka, Joe Marconi, Bobby Joe Green",Chicago Bears; San Diego Chargers
1964,NFL,Mike-NFL1941-1969,6,284,22,27%,notable teams,,"Jim Bakken, Larry Wilson, Jackie Smith",Baltimore Colts; Buffalo Bills; Cleveland Browns; Minnesota Vikings; St. Louis Cardinals; Washington Redskins
1964,NFL,1996Roster,1,51,22,5%,notable teams,,"Jim Bakken, Larry Wilson, Jackie Smith",St. Louis Cardinals
1964,NFL,MuscleMike-LM67,1,47,22,5%,notable teams,,"Billy Shaw, Jack Kemp, Pete Gogolak",Buffalo Bills
1965,NFL,Mike-NFL1941-1969,2,93,22,9%,notable teams,,"Jim Brown, Lou Groza, John Morrow",Chicago Bears; Cleveland Browns
1965,NFL,MuscleMike-LM67,1,47,22,5%,notable teams,,"Jim Brown, Lou Groza, Paul Wiggin",Cleveland Browns
1966,NFL,1966Roster,24,1087,24,100%,full league,,"Ray Mansfield, Frank Lambert, Charley Bradshaw",Atlanta Falcons; Baltimore Colts; Boston Patriots; Buffalo Bills; Chicago Bears; Cleveland Browns; Dallas Cowboys; Denver Broncos; Detroit Lions; Green Bay Packers; Houston Oilers; Kansas City Chiefs; Los Angeles Rams; Miami Dolphins; Minnesota Vikings; New York Giants; New York Jets; Oakland Raiders; Philadelphia Eagles; Pittsburgh Steelers; San Diego Chargers; San Francisco 49ers; St. Louis Cardinals; Washington Redskins
1966,NFL,Mike-NFL1941-1969,3,138,24,12%,notable teams,,"Jerry Kramer, Forrest Gregg, Willie Davis",Dallas Cowboys; Green Bay Packers; Kansas City Chiefs
1966,NFL,MuscleMike-LM67,3,142,24,12%,notable teams,,"Bob Lilly, Mel Renfro, Dave Manders",Dallas Cowboys; Green Bay Packers; Kansas City Chiefs
1967,NFL,Mike-NFL1941-1969,7,336,25,28%,notable teams,,"Jim Taylor, Doug Atkins, Dan Abramowicz",Dallas Cowboys; Detroit Lions; Green Bay Packers; Houston Oilers; Los Angeles Rams; New Orleans Saints; Oakland Raiders
1967,NFL,MuscleMike-LM67,4,187,25,16%,notable teams,,"Deacon Jones, Merlin Olsen, Les Josephson",Dallas Cowboys; Green Bay Packers; Los Angeles Rams; Oakland Raiders
1967,NFL,Mike-NFL1975-1979,2,92,25,8%,notable teams,,"Jim Otto, Ben Davidson, Dan Birdwell",Green Bay Packers; Oakland Raiders
1967,NFL,Mike-NFL1970-1974,1,48,25,4%,notable teams,,"Deacon Jones, Merlin Olsen, Tom Mack",Los Angeles Rams
1968,NFL,Mike-NFL1941-1969,4,190,26,15%,notable teams,,"Gene Upshaw, Jim Otto, Hewritt Dixon",Baltimore Colts; Minnesota Vikings; New York Jets; Oakland Raiders
1968,NFL,MuscleMike-LM67,3,143,26,12%,notable teams,,"John Mackey, Bob Vogel, Bubba Smith",Baltimore Colts; New York Jets; Oakland Raiders
1968,NFL,Mike-NFL1970-1974,1,47,26,4%,notable teams,,"Joe Namath, Matt Snell, Winston Hill",New York Jets
1969,NFL,Mike-NFL1941-1969,6,286,26,23%,notable teams,,"Mike Bragg, Sam Huff, Charley Taylor",Buffalo Bills; Kansas City Chiefs; Los Angeles Rams; Minnesota Vikings; Oakland Raiders; Washington Redskins
1969,NFL,MuscleMike-LM67,3,137,26,12%,notable teams,,"Buck Buchanan, Jerry Mays, Ed Budde",Kansas City Chiefs; Minnesota Vikings; Oakland Raiders
1969,NFL,1996Roster,1,46,26,4%,notable teams,,"Carl Eller, Jim Marshall, Alan Page",Minnesota Vikings
1969,NFL,Mike-NFL1975-1979,1,46,26,4%,notable teams,,"Carl Eller, Jim Marshall, Alan Page",Minnesota Vikings
1970,NFL,Mike-NFL1970-1974,9,425,26,35%,notable teams,,"Tom Dempsey, Julian Fagan, Danny  Abramowicz",Baltimore Colts; Cleveland Browns; Dallas Cowboys; Detroit Lions; Minnesota Vikings; New Orleans Saints; New York Giants; Oakland Raiders; San Francisco 49ers
1970,NFL,MuscleMike-LM67,7,330,26,27%,notable teams,,"Larry Hand, Charlie Sanders, Ed Flanagan",Baltimore Colts; Cleveland Browns; Dallas Cowboys; Detroit Lions; Minnesota Vikings; Oakland Raiders; San Francisco 49ers
1971,NFL,Mike-NFL1970-1974,7,336,26,27%,notable teams,,"Jim Turner, Rich Jackson, Floyd Little",Dallas Cowboys; Denver Broncos; Kansas City Chiefs; Miami Dolphins; Oakland Raiders; San Francisco 49ers; Washington Redskins
1971,NFL,MuscleMike-LM67,4,194,26,15%,notable teams,,"Garo Yepremian, Larry Little, Manny Fernandez",Dallas Cowboys; Kansas City Chiefs; Miami Dolphins; Oakland Raiders
1971,NFL,1996Roster,1,49,26,4%,notable teams,,"Cornell Green, Bob Lilly, Mike Ditka",Dallas Cowboys
1972,NFL,Mike-NFL1970-1974,10,486,26,38%,notable teams,,"Harold Jackson, Bill Bradley, Tom Dempsey",Chicago Bears; Green Bay Packers; Los Angeles Rams; Miami Dolphins; New York Jets; Oakland Raiders; Philadelphia Eagles; Pittsburgh Steelers; San Francisco 49ers; Washington Redskins
1972,NFL,MuscleMike-LM67,4,196,26,15%,notable teams,,"Joe Greene, Bobby Walden, Ray Mansfield",Miami Dolphins; Oakland Raiders; Pittsburgh Steelers; Washington Redskins
1973,NFL,Mike-NFL1970-1974,9,439,26,35%,notable teams,,"Tom McNeill, Harold Carmichael, Bill Bradley",Atlanta Falcons; Buffalo Bills; Cincinnati Bengals; Dallas Cowboys; Los Angeles Rams; Miami Dolphins; Minnesota Vikings; Philadelphia Eagles; San Diego Chargers
1973,NFL,MuscleMike-LM67,4,196,26,15%,notable teams,,"Jim Braxton, Joe DeLamielleure, Spike Jones",Buffalo Bills; Cincinnati Bengals; Miami Dolphins; Minnesota Vikings
1973,NFL,1966Roster,1,44,26,4%,notable teams,,"Billy Shaw, Stew Barber, Ron McDole",Buffalo Bills
1974,NFL,Mike-NFL1970-1974,10,494,26,38%,notable teams,,"Elvin Bethea, Curly Culp, Fred Willis",Buffalo Bills; Houston Oilers; Los Angeles Rams; Miami Dolphins; Minnesota Vikings; New England Patriots; Oakland Raiders; Philadelphia Eagles; Pittsburgh Steelers; Washington Redskins
1974,NFL,MuscleMike-LM67,4,200,26,15%,notable teams,,"Garo Yepremian, Larry Little, Jake Scott",Miami Dolphins; Minnesota Vikings; Oakland Raiders; Pittsburgh Steelers
1974,NFL,Mike-NFL1975-1979,1,50,26,4%,notable teams,,"O.J. Simpson, Jim Braxton, Joe DeLamielleure",Buffalo Bills
1975,NFL,Mike-NFL1975-1979,8,376,26,31%,notable teams,,"Don Cockroft, Jerry Sherk, Reggie Rucker",Cleveland Browns; Dallas Cowboys; Los Angeles Rams; Minnesota Vikings; New York Giants; Oakland Raiders; Pittsburgh Steelers; St. Louis Cardinals
1975,NFL,MuscleMike-LM67,6,289,26,23%,notable teams,,"Fran Tarkenton, Fred Cox, Alan Page",Dallas Cowboys; Los Angeles Rams; Minnesota Vikings; Oakland Raiders; Pittsburgh Steelers; St. Louis Cardinals
1975,NFL,1966Roster,1,50,26,4%,notable teams,,"Don Cockroft, Jerry Sherk, Reggie Rucker",Cleveland Browns
1975,NFL,Mike-NFL1970-1974,1,47,26,4%,notable teams,,"Harvey Martin, Ralph Neely, Rayfield Wright",Dallas Cowboys
1975,NFL,Mike-NFL1980-1989,1,47,26,4%,notable teams,,"L.C. Greenwood, Dwight White, Joe Greene",Pittsburgh Steelers
1975,WFL,Mike-USFL_WFL,4,201,11,36%,notable teams,,"Ken Bowman, John Wilbur, Karl  Lorch",Birmingham Vulcans; Honolulu Hawaiians; Memphis Southmen; So California Sun
1975,WFL,1976Roster,2,101,11,18%,notable teams,,"Ken Bowman, John Wilbur, Karl  Lorch",Birmingham Vulcans; Honolulu Hawaiians
