season,team,w,l,t,pf,pa,pf_rank,pa_rank,n_teams
1975,Oakland Raiders(2),11,3,0,375,255,4,7,26
1975,Denver Broncos,6,8,0,254,307,17,18,26
1975,Kansas City Chiefs,5,9,0,282,341,13,19,26
1975,San Diego Chargers,2,12,0,189,345,25,20,26
1975,Minnesota Vikings(1),12,2,0,377,180,3,3,26
1975,Detroit Lions,7,7,0,245,262,18,8,26
1975,Chicago Bears,4,10,0,191,379,24,25,26
1975,Green Bay Packers,4,10,0,226,285,20,13,26
1975,St. Louis Cardinals(3),11,3,0,356,276,7,11,26
1975,Dallas Cowboys(4),10,4,0,350,268,8,9,26
1975,Washington Redskins,8,6,0,325,276,10,12,26
1975,New York Giants,5,9,0,216,306,23,17,26
1975,Philadelphia Eagles,4,10,0,225,302,21,16,26
1975,Los Angeles Rams(2),12,2,0,312,135,11,1,26
1975,San Francisco 49ers,5,9,0,255,286,16,14,26
1975,Atlanta Falcons,4,10,0,240,289,19,15,26
1975,New Orleans Saints,2,12,0,165,360,26,23,26
1976,Pittsburgh Steelers(3),10,4,0,342,138,5,1,28
1976,Cincinnati Bengals,10,4,0,335,210,6,7,28
1976,Cleveland Browns,9,5,0,267,287,14,20,28
1976,Houston Oilers,5,9,0,222,273,22,17,28
1976,Baltimore Colts(2),11,3,0,417,246,1,13,28
1976,New England Patriots(4),11,3,0,376,236,2,11,28
1976,Miami Dolphins,6,8,0,263,264,15,15,28
1976,New York Jets,3,11,0,169,383,26,26,28
1976,Buffalo Bills,2,12,0,245,363,20,24,28
1976,Oakland Raiders(1),13,1,0,350,237,4,12,28
1976,Denver Broncos,9,5,0,315,206,7,6,28
1976,San Diego Chargers,6,8,0,248,285,19,18,28
1976,Kansas City Chiefs,5,9,0,290,376,12,25,28
1976,Tampa Bay Buccaneers,0,14,0,125,412,28,27,28
1976,Minnesota Vikings(1),11,2,1,305,176,9,2,28
1976,Chicago Bears,7,7,0,253,216,17,8,28
1976,Detroit Lions,6,8,0,262,220,16,10,28
1976,Green Bay Packers,5,9,0,218,299,23,21,28
1976,Dallas Cowboys(2),11,3,0,296,194,10,5,28
1976,Washington Redskins(4),10,4,0,291,217,11,9,28
1976,St. Louis Cardinals,10,4,0,309,267,8,16,28
1976,Philadelphia Eagles,4,10,0,165,286,27,19,28
1976,New York Giants,3,11,0,170,250,25,14,28
1976,Los Angeles Rams(3),10,3,1,351,190,3,3,28
1976,San Francisco 49ers,8,6,0,270,190,13,4,28
1976,New Orleans Saints,4,10,0,253,346,18,23,28
1976,Atlanta Falcons,4,10,0,172,312,24,22,28
1976,Seattle Seahawks,2,12,0,229,429,21,28,28
1977,Pittsburgh Steelers(3),9,5,0,276,243,9,17,28
1977,Houston Oilers,8,6,0,299,230,5,14,28
1977,Cincinnati Bengals,8,6,0,238,235,14,16,28
1977,Cleveland Browns,6,8,0,269,267,12,22,28
1977,Baltimore Colts(2),10,4,0,295,221,6,11,28
1977,Miami Dolphins,10,4,0,313,197,3,5,28
1977,New England Patriots,9,5,0,278,217,8,9,28
1977,New York Jets,3,11,0,191,300,22,24,28
1977,Buffalo Bills,3,11,0,160,313,26,25,28
1977,Denver Broncos(1),12,2,0,274,148,10,3,28
1977,Oakland Raiders(4),11,3,0,351,230,1,15,28
1977,San Diego Chargers,7,7,0,222,205,18,6,28
1977,Seattle Seahawks,5,9,0,282,373,7,28,28
1977,Kansas City Chiefs,2,12,0,225,349,17,27,28
1977,Minnesota Vikings(3),9,5,0,231,227,16,13,28
1977,Chicago Bears(4),9,5,0,255,253,13,19,28
1977,Detroit Lions,6,8,0,183,252,23,18,28
1977,Green Bay Packers,4,10,0,134,219,27,10,28
1977,Tampa Bay Buccaneers,2,12,0,103,223,28,12,28
1977,Dallas Cowboys(1),12,2,0,345,212,2,8,28
1977,Washington Redskins,9,5,0,196,189,21,4,28
1977,St. Louis Cardinals,7,7,0,272,287,11,23,28
1977,Philadelphia Eagles,5,9,0,220,207,19,7,28
1977,New York Giants,5,9,0,181,265,24,21,28
1977,Los Angeles Rams(2),10,4,0,302,146,4,2,28
1977,Atlanta Falcons,7,7,0,179,129,25,1,28
1977,San Francisco 49ers,5,9,0,220,260,20,20,28
1977,New Orleans Saints,3,11,0,232,336,15,26,28
1978,Pittsburgh Steelers(1),14,2,0,356,195,5,1,28
1978,Houston Oilers(5),10,6,0,283,298,14,16,28
1978,Cleveland Browns,8,8,0,334,356,8,25,28
1978,Cincinnati Bengals,4,12,0,252,284,21,12,28
1978,New England Patriots(2),11,5,0,358,286,4,13,28
1978,Miami Dolphins(4),11,5,0,372,254,2,6,28
1978,New York Jets,8,8,0,359,364,3,27,28
1978,Buffalo Bills,5,11,0,302,354,11,24,28
1978,Baltimore Colts,5,11,0,240,421,26,28,28
1978,Denver Broncos(3),10,6,0,282,198,15,2,28
1978,Oakland Raiders,9,7,0,311,283,10,10,28
1978,Seattle Seahawks,9,7,0,345,358,7,26,28
1978,San Diego Chargers,9,7,0,355,309,6,21,28
1978,Kansas City Chiefs,4,12,0,243,327,24,22,28
1978,Minnesota Vikings(3),8,7,1,294,306,12,20,28
1978,Green Bay Packers,8,7,1,249,269,22,8,28
1978,Detroit Lions,7,9,0,290,300,13,19,28
1978,Chicago Bears,7,9,0,253,274,20,9,28
1978,Tampa Bay Buccaneers,5,11,0,241,259,25,7,28
1978,Dallas Cowboys(2),12,4,0,384,208,1,3,28
1978,Philadelphia Eagles(5),9,7,0,270,250,18,5,28
1978,Washington Redskins,8,8,0,273,283,17,11,28
1978,St. Louis Cardinals,6,10,0,248,296,23,15,28
1978,New York Giants,6,10,0,264,298,19,17,28
1978,Los Angeles Rams(1),12,4,0,316,245,9,4,28
1978,Atlanta Falcons(4),9,7,0,240,290,27,14,28
1978,New Orleans Saints,7,9,0,281,298,16,18,28
1978,San Francisco 49ers,2,14,0,219,350,28,23,28
