round,pick,team,name,pos,age,college,last_season,career_av,pro_bowls
11,304,RAM,Terry Greer,WR,22,Alabama St.,1990,6,0
11,305,PIT,Frank Pollard,RB,23,Baylor,1988,33,0
12,306,PIT,Charles Vaclavik,DB,,Texas,,,0
12,307,DET,Ray Williams,RB,21,Washington St.,1980,3,0
12,308,CIN,Mike Wright,QB,,Vanderbilt,,,0
12,309,STL,Tyrone Gray,WR,,Washington St.,,,0
12,310,GNB,James Stewart,DB,,Memphis,,,0
12,311,BAL,Randy Bielski,K,,Towson,,,0
12,312,NYG,Mike Lansford,K,22,Washington,1990,22,0
12,313,ATL,Quinn Jones,RB,,Tulsa,,,0
12,314,KAN,Mike Brewington,LB,,East Carolina,,,0
12,315,MIN,Thomas Lane,DB,,Florida A&M,,,0
12,316,BUF,Roger Lapham,TE,,Maine,,,0
12,317,NYJ,David Dumars,DB,,La-Monroe,,,0
12,318,NOR,Kiser Lewis,LB,,Florida A&M,,,0
12,319,SEA,Presnell Gilbert,DB,,U.S. International,,,0
12,320,NWE,Jimmy Jordan,QB,,Florida St.,,,0
12,321,CLE,Marcus Jackson,DE,23,Purdue,1987,0,0
12,322,OAK,Calvin Muhammad,WR,21,Texas Southern,1987,13,0
12,323,CHI,Bob Fisher,TE,22,SMU,1981,2,0
12,324,BAL,Marvin Sims,FB,23,Clemson,1981,2,0
12,325,MIA,Chuck Stone,G,,North Carolina St.,,,0
12,326,TAM,Gene Coleman,DB,,Miami (FL),,,0
12,327,WAS,Marcene Emmett,DB,,North Alabama,,,0
12,328,HOU,Wiley Pitts,WR,,Temple,,,0
12,329,PHI,Howard Fields,DB,,Baylor,,,0
12,330,DAL,Norm Wells,DT,22,Northwestern,1980,0,0
12,331,SDG,Harry Price,WR,,McNeese St.,,,0
12,332,RAM,Kevin Scanlon,QB,,Arkansas,,,0
12,333,PIT,Tyrone McGriff,G,22,Florida A&M,1982,7,0
7,1,ATL,Matthew Teague,LB,21,Prairie View A&M,1981,1,0
9,2,SDG,Billy Mullins,WR,,USC,,,0
